date,ticker,close
2024-01-01,SPY,100.107
2024-01-02,SPY,100.2271
2024-01-03,SPY,100.3602
2024-01-04,SPY,100.5059
2024-01-05,SPY,100.6638
2024-01-06,SPY,100.8335
2024-01-07,SPY,101.0142
2024-01-08,SPY,101.2054
2024-01-09,SPY,101.4062
2024-01-10,SPY,101.6158
2024-01-11,SPY,101.8332
2024-01-12,SPY,102.0573
2024-01-13,SPY,102.2871
2024-01-14,SPY,102.5214
2024-01-15,SPY,102.7589
2024-01-16,SPY,102.9985
2024-01-17,SPY,103.2388
2024-01-18,SPY,103.4785
2024-01-19,SPY,103.7162
2024-01-20,SPY,103.9507
2024-01-21,SPY,104.1805
2024-01-22,SPY,104.4043
2024-01-23,SPY,104.6209
2024-01-24,SPY,104.8289
2024-01-25,SPY,105.0272
2024-01-26,SPY,105.2147
2024-01-27,SPY,105.3901
2024-01-28,SPY,105.5526
2024-01-29,SPY,105.7012
2024-01-30,SPY,105.835
2024-01-31,SPY,105.9535
2024-02-01,SPY,106.0559
2024-02-02,SPY,106.1419
2024-02-03,SPY,106.211
2024-02-04,SPY,106.263
2024-02-05,SPY,106.2977
2024-02-06,SPY,106.3154
2024-02-07,SPY,106.316
2024-02-08,SPY,106.2998
2024-02-09,SPY,106.2673
2024-02-10,SPY,106.219
2024-02-11,SPY,106.1556
2024-02-12,SPY,106.0777
2024-02-13,SPY,105.9863
2024-02-14,SPY,105.8823
2024-02-15,SPY,105.7667
2024-02-16,SPY,105.6407
2024-02-17,SPY,105.5054
2024-02-18,SPY,105.362
2024-02-19,SPY,105.2119
2024-02-20,SPY,105.0564
2024-02-21,SPY,104.8967
2024-02-22,SPY,104.7343
2024-02-23,SPY,104.5705
2024-02-24,SPY,104.4067
2024-02-25,SPY,104.244
2024-02-26,SPY,104.084
2024-02-27,SPY,103.9277
2024-02-28,SPY,103.7764
2024-02-29,SPY,103.6312
2024-03-01,SPY,103.4932
2024-03-02,SPY,103.3634
2024-03-03,SPY,103.2428
2024-03-04,SPY,103.1321
2024-03-05,SPY,103.032
2024-03-06,SPY,102.9434
2024-03-07,SPY,102.8666
2024-03-08,SPY,102.8021
2024-03-09,SPY,102.7504
2024-03-10,SPY,102.7116
2024-03-11,SPY,102.6858
2024-03-12,SPY,102.6731
2024-03-13,SPY,102.6735
2024-03-14,SPY,102.6867
2024-03-15,SPY,102.7124
2024-03-16,SPY,102.7503
2024-03-17,SPY,102.8
2024-03-18,SPY,102.8608
2024-03-19,SPY,102.9321
2024-03-20,SPY,103.0131
2024-03-21,SPY,103.1031
2024-03-22,SPY,103.2013
2024-03-23,SPY,103.3066
2024-03-24,SPY,103.418
2024-03-25,SPY,103.5347
2024-03-26,SPY,103.6554
2024-03-27,SPY,103.7792
2024-03-28,SPY,103.9048
2024-03-29,SPY,104.0313
2024-03-30,SPY,104.1574
2024-03-31,SPY,104.2821
2024-04-01,SPY,104.4043
2024-04-02,SPY,104.5229
2024-04-03,SPY,104.637
2024-04-04,SPY,104.7456
2024-04-05,SPY,104.8478
2024-04-06,SPY,104.9427
2024-04-07,SPY,105.0297
2024-04-08,SPY,105.108
2024-04-09,SPY,105.1772
2024-04-10,SPY,105.2366
2024-04-11,SPY,105.286
2024-04-12,SPY,105.325
2024-04-13,SPY,105.3536
2024-04-14,SPY,105.3716
2024-04-15,SPY,105.379
2024-04-16,SPY,105.3762
2024-04-17,SPY,105.3633
2024-04-18,SPY,105.3408
2024-04-19,SPY,105.309
2024-04-20,SPY,105.2687
2024-04-21,SPY,105.2205
2024-04-22,SPY,105.1651
2024-04-23,SPY,105.1034
2024-04-24,SPY,105.0364
2024-04-25,SPY,104.965
2024-04-26,SPY,104.8902
2024-04-27,SPY,104.8131
2024-04-28,SPY,104.7349
2024-04-29,SPY,104.6567
2024-04-30,SPY,104.5796
2024-05-01,SPY,104.5049
2024-05-02,SPY,104.4337
2024-05-03,SPY,104.3671
2024-05-04,SPY,104.3062
2024-05-05,SPY,104.2522
2024-05-06,SPY,104.2062
2024-05-07,SPY,104.169
2024-05-08,SPY,104.1417
2024-05-09,SPY,104.1252
2024-05-10,SPY,104.1201
2024-05-11,SPY,104.1274
2024-05-12,SPY,104.1475
2024-05-13,SPY,104.1811
2024-05-14,SPY,104.2286
2024-05-15,SPY,104.2903
2024-05-16,SPY,104.3666
2024-05-17,SPY,104.4575
2024-05-18,SPY,104.5632
2024-05-19,SPY,104.6834
2024-05-20,SPY,104.8181
2024-05-21,SPY,104.967
2024-05-22,SPY,105.1297
2024-05-23,SPY,105.3056
2024-05-24,SPY,105.4942
2024-05-25,SPY,105.6948
2024-05-26,SPY,105.9065
2024-05-27,SPY,106.1285
2024-05-28,SPY,106.3597
2024-05-29,SPY,106.5992
2024-05-30,SPY,106.8458
2024-05-31,SPY,107.0982
2024-06-01,SPY,107.3551
2024-06-02,SPY,107.6154
2024-06-03,SPY,107.8776
2024-06-04,SPY,108.1402
2024-06-05,SPY,108.402
2024-06-06,SPY,108.6614
2024-06-07,SPY,108.9171
2024-06-08,SPY,109.1676
2024-06-09,SPY,109.4115
2024-06-10,SPY,109.6475
2024-06-11,SPY,109.8743
2024-06-12,SPY,110.0906
2024-06-13,SPY,110.2952
2024-06-14,SPY,110.487
2024-06-15,SPY,110.6651
2024-06-16,SPY,110.8284
2024-06-17,SPY,110.9761
2024-06-18,SPY,111.1076
2024-06-19,SPY,111.2224
2024-06-20,SPY,111.3198
2024-06-21,SPY,111.3996
2024-06-22,SPY,111.4617
2024-06-23,SPY,111.5059
2024-06-24,SPY,111.5323
2024-06-25,SPY,111.5412
2024-06-26,SPY,111.5329
2024-06-27,SPY,111.5079
2024-06-28,SPY,111.4667
2024-06-29,SPY,111.4101
2024-06-30,SPY,111.3389
2024-07-01,SPY,111.254
2024-07-02,SPY,111.1564
2024-07-03,SPY,111.0474
2024-07-04,SPY,110.9279
2024-07-05,SPY,110.7994
2024-07-06,SPY,110.663
2024-07-07,SPY,110.5201
2024-07-08,SPY,110.3721
2024-07-09,SPY,110.2203
2024-07-10,SPY,110.0662
2024-07-11,SPY,109.9111
2024-07-12,SPY,109.7564
2024-07-13,SPY,109.6034
2024-07-14,SPY,109.4534
2024-07-15,SPY,109.3077
2024-07-16,SPY,109.1675
2024-07-17,SPY,109.0338
2024-07-18,SPY,108.9077
2024-07-19,SPY,108.7902
2024-07-20,SPY,108.6822
2024-07-21,SPY,108.5845
2024-07-22,SPY,108.4978
2024-07-23,SPY,108.4226
2024-07-24,SPY,108.3594
2024-07-25,SPY,108.3087
2024-07-26,SPY,108.2707
2024-07-27,SPY,108.2455
2024-07-28,SPY,108.2332
2024-07-29,SPY,108.2338
2024-07-30,SPY,108.247
2024-07-31,SPY,108.2726
2024-08-01,SPY,108.3103
2024-08-02,SPY,108.3595
2024-08-03,SPY,108.4196
2024-08-04,SPY,108.4901
2024-08-05,SPY,108.5702
2024-08-06,SPY,108.6589
2024-08-07,SPY,108.7556
2024-08-08,SPY,108.8591
2024-08-09,SPY,108.9684
2024-08-10,SPY,109.0826
2024-08-11,SPY,109.2005
2024-08-12,SPY,109.3209
2024-08-13,SPY,109.4428
2024-08-14,SPY,109.5649
2024-08-15,SPY,109.6862
2024-08-16,SPY,109.8054
2024-08-17,SPY,109.9214
2024-08-18,SPY,110.0333
2024-08-19,SPY,110.1398
2024-08-20,SPY,110.2401
2024-08-21,SPY,110.3331
2024-08-22,SPY,110.4182
2024-08-23,SPY,110.4944
2024-08-24,SPY,110.561
2024-08-25,SPY,110.6176
2024-08-26,SPY,110.6636
2024-08-27,SPY,110.6986
2024-08-28,SPY,110.7224
2024-08-29,SPY,110.7348
2024-08-30,SPY,110.7358
2024-08-31,SPY,110.7254
2024-09-01,SPY,110.7039
2024-09-02,SPY,110.6715
2024-09-03,SPY,110.6287
2024-09-04,SPY,110.576
2024-09-05,SPY,110.514
2024-09-06,SPY,110.4436
2024-09-07,SPY,110.3655
2024-09-08,SPY,110.2806
2024-09-09,SPY,110.1899
2024-09-10,SPY,110.0946
2024-09-11,SPY,109.9956
2024-09-12,SPY,109.8943
2024-09-13,SPY,109.7917
2024-09-14,SPY,109.6892
2024-09-15,SPY,109.5879
2024-09-16,SPY,109.4891
2024-09-17,SPY,109.3942
2024-09-18,SPY,109.3043
2024-09-19,SPY,109.2206
2024-09-20,SPY,109.1444
2024-09-21,SPY,109.0767
2024-09-22,SPY,109.0187
2024-09-23,SPY,108.9715
2024-09-24,SPY,108.9358
2024-09-25,SPY,108.9127
2024-09-26,SPY,108.903
2024-09-27,SPY,108.9073
2024-09-28,SPY,108.9262
2024-09-29,SPY,108.9604
2024-09-30,SPY,109.0101
2024-10-01,SPY,109.0758
2024-10-02,SPY,109.1576
2024-10-03,SPY,109.2555
2024-10-04,SPY,109.3696
2024-10-05,SPY,109.4998
2024-10-06,SPY,109.6456
2024-10-07,SPY,109.8069
2024-10-08,SPY,109.983
2024-10-09,SPY,110.1735
2024-10-10,SPY,110.3775
2024-10-11,SPY,110.5944
2024-10-12,SPY,110.8231
2024-10-13,SPY,111.0626
2024-10-14,SPY,111.312
2024-10-15,SPY,111.57
2024-10-16,SPY,111.8354
2024-10-17,SPY,112.1068
2024-10-18,SPY,112.3829
2024-10-19,SPY,112.6623
2024-10-20,SPY,112.9435
2024-10-21,SPY,113.225
2024-10-22,SPY,113.5054
2024-10-23,SPY,113.7832
2024-10-24,SPY,114.0567
2024-10-25,SPY,114.3247
2024-10-26,SPY,114.5855
2024-10-27,SPY,114.8379
2024-10-28,SPY,115.0805
2024-10-29,SPY,115.3119
2024-10-30,SPY,115.531
2024-10-31,SPY,115.7367
2024-11-01,SPY,115.928
2024-11-02,SPY,116.1038
2024-11-03,SPY,116.2635
2024-11-04,SPY,116.4064
2024-11-05,SPY,116.5318
2024-11-06,SPY,116.6395
2024-11-07,SPY,116.7291
2024-11-08,SPY,116.8004
2024-11-09,SPY,116.8536
2024-11-10,SPY,116.8886
2024-11-11,SPY,116.9059
2024-11-12,SPY,116.9057
2024-11-13,SPY,116.8888
2024-11-14,SPY,116.8556
2024-11-15,SPY,116.8071
2024-01-01,QQQ,50.072
2024-01-02,QQQ,50.1531
2024-01-03,QQQ,50.243
2024-01-04,QQQ,50.3418
2024-01-05,QQQ,50.449
2024-01-06,QQQ,50.5643
2024-01-07,QQQ,50.6874
2024-01-08,QQQ,50.8177
2024-01-09,QQQ,50.9547
2024-01-10,QQQ,51.0979
2024-01-11,QQQ,51.2466
2024-01-12,QQQ,51.4001
2024-01-13,QQQ,51.5576
2024-01-14,QQQ,51.7184
2024-01-15,QQQ,51.8816
2024-01-16,QQQ,52.0463
2024-01-17,QQQ,52.2116
2024-01-18,QQQ,52.3766
2024-01-19,QQQ,52.5405
2024-01-20,QQQ,52.7021
2024-01-21,QQQ,52.8607
2024-01-22,QQQ,53.0152
2024-01-23,QQQ,53.1647
2024-01-24,QQQ,53.3084
2024-01-25,QQQ,53.4454
2024-01-26,QQQ,53.5749
2024-01-27,QQQ,53.6961
2024-01-28,QQQ,53.8082
2024-01-29,QQQ,53.9107
2024-01-30,QQQ,54.0029
2024-01-31,QQQ,54.0843
2024-02-01,QQQ,54.1545
2024-02-02,QQQ,54.2132
2024-02-03,QQQ,54.26
2024-02-04,QQQ,54.2948
2024-02-05,QQQ,54.3176
2024-02-06,QQQ,54.3282
2024-02-07,QQQ,54.327
2024-02-08,QQQ,54.3139
2024-02-09,QQQ,54.2894
2024-02-10,QQQ,54.2538
2024-02-11,QQQ,54.2075
2024-02-12,QQQ,54.1512
2024-02-13,QQQ,54.0853
2024-02-14,QQQ,54.0106
2024-02-15,QQQ,53.9279
2024-02-16,QQQ,53.8378
2024-02-17,QQQ,53.7413
2024-02-18,QQQ,53.6393
2024-02-19,QQQ,53.5325
2024-02-20,QQQ,53.422
